epoch,train_c_loss,train_c_accuracy,val_loss,val_accuracy,test_c_loss,test_c_accuracy,learning_rate
69,1.0013459552526474,0.7434762054681778,|,1.0154476375579835,0.6952381128072739,|,7.855528557462218e-06
70,0.9961092925071716,0.7468571577966213,|,1.0151561986605326,0.6958730335235596,|,7.069982771698768e-06
71,0.9939195781946182,0.752000014692545,|,1.0161791604359944,0.7064127152760824,|,6.362990857519748e-06
72,0.9955473267436028,0.7468095387518406,|,1.0154679689407349,0.7043809694449107,|,6.362990857519748e-06
73,0.9988683499097825,0.7446666816473008,|,1.0139406994183857,0.6990476361910503,|,5.7266974984652716e-06
74,0.9980757756233215,0.7447143007218838,|,1.0159306480089823,0.7028571595350901,|,5.154032902651647e-06
75,0.9967172985076904,0.751857157498598,|,1.0101400394439697,0.7051428737640381,|,5.154032902651647e-06
76,0.9983731025457382,0.744095253109932,|,1.0191668395996094,0.7026031911373138,|,4.6386342510207334e-06
77,0.9972426945567131,0.7439523958861828,|,1.0137869313557943,0.7037460487683614,|,4.174775000693661e-06
78,0.9958418239951133,0.7475238244831562,|,1.01552632188797,0.7055238262812297,|,4.174775000693661e-06
79,0.9946665861606598,0.7448571577966213,|,1.0185982538859049,0.6940952552159627,|,3.7573012579255527e-06
80,0.9945237467885018,0.7507143003046512,|,1.0156020121574403,0.6981587470372518,|,3.381574513707511e-06
81,0.9983999510407447,0.7454762054681778,|,1.0115817187627156,0.7081904927889506,|,3.381574513707511e-06
82,0.9978004472851754,0.7451904910802841,|,1.0162606894175212,0.6947301756540935,|,3.043420105756866e-06
83,0.9954412258863449,0.747761919438839,|,1.0129364191691081,0.7071746202309926,|,2.7390808342620134e-06
84,0.9974803032875061,0.7484285862147808,|,1.0130406432151795,0.7078095404307048,|,2.7390808342620134e-06
